lesson_id,module_id,stage_id,cefr_band,module_title,lesson_title,status,lesson_primary_outcome,lesson_secondary_outcome,grammar_function_primary,grammar_function_secondary,new_vocab_core,new_chunks_core,review_vocab_required,targets,lesson_quiz_focus,prereq_lessons,notes
M06-L002,M06,S2,A1-A2,"Questions, Repair, and Real-World Understanding",Asking for Repetition and Slower Speech,draft,"Learner can request slower speech, repetition, and clearer wording politely.",Learner can recycle recent vocabulary while using softening with หน่อย and ได้ไหม in short controlled output.,repair requests,softening with หน่อย and ได้ไหม,ชัด = clear; เร็ว = fast; ช้าๆ = slowly; ซ้ำ = repeat; อธิบาย = explain; คำนี้ = this word; ประโยค = sentence,พูดชัดๆ หน่อย = please speak clearly; ช่วยอธิบายหน่อย = please explain a bit; พูดซ้ำอีกที = repeat it again,เหรอ = really? / question particle; หรอ = casual question particle; อีกที = one more time; เมื่อกี้ = just now,Read common clarity and repetition requests in Thai script.|Recognize slower/faster/clearer requests in teacher and service talk.|Ask for clearer speech and explanation politely.|,Repair language for speech speed and clarity.,,Primary pattern lesson. Keep output controlled and highly scaffolded. spaced-review: เร็ว spaced-review: ประโยค
M06-L003,M06,S2,A1-A2,"Questions, Repair, and Real-World Understanding",Quantities and Approximation,draft,Learner can talk about rough quantity and amount without needing exact numbers every time.,Learner can recycle recent vocabulary while using approximation language in short controlled output.,quantifiers,approximation language,หลาย = many / several; น้อย = little / few; เยอะ = a lot; ประมาณ = approximately; เกือบ = almost; กว่า = more than; ไม่ถึง = less than,ประมาณห้าคน = about five people; เยอะมาก = a lot; ไม่ถึงสิบบาท = less than ten baht,อีกที = one more time; เมื่อกี้ = just now; ชัด = clear; เร็ว = fast; ช้าๆ = slowly; ซ้ำ = repeat,Read quantity words and approximation markers.|Recognize rough quantity rather than exact counting in speech.|Describe amount and quantity more naturally.|,Quantifiers and approximation for everyday interaction.,,Primary pattern lesson. Expand range while reusing lesson 1-2 vocabulary.
M06-L004,M06,S2,A1-A2,"Questions, Repair, and Real-World Understanding",Comparison and Choice,draft,Learner can compare options and explain which one is better or more suitable.,Learner can recycle recent vocabulary while using choice language in short controlled output.,กว่า comparison,choice language; superlative with ที่สุด,กว่า = more than; เหมือน = same / similar; ต่าง = different; เหมาะ = suitable; ง่าย = easy; ยาก = difficult; สะอาด = clean; ที่สุด = most / -est (superlative),อันนี้ถูกกว่า = this one is cheaper; แบบนี้ง่ายกว่า = this way is easier; อันไหนเหมาะกว่า = which one is more suitable?,ช้าๆ = slowly; ซ้ำ = repeat; หลาย = many / several; น้อย = little / few; เยอะ = a lot; ประมาณ = approximately,Read comparison phrases built with กว่า.|Recognize choice-making language in shop and service talk.|Compare two options and make a simple recommendation.|,Comparison structures for practical decision-making.,,Vocabulary system lesson. Widen usable lexicon without adding major new complexity. spaced-review: กว่า
M06-L005,M06,S2,A1-A2,"Questions, Repair, and Real-World Understanding",Menus and Food Labels,draft,Learner can understand the most important words on simple menus and food signs.,Learner can recycle recent vocabulary while using noun modifiers in food labels in short controlled output.,menu reading,noun modifiers in food labels,เมนู = menu; แนะนำ = recommended; หมู = pork; ไก่ = chicken; ปลา = fish; ผัก = vegetables; ของหวาน = dessert,เมนูแนะนำ = recommended menu; ไม่ใส่หมู = no pork; ของหวานอะไรดี = which dessert is good?,เยอะ = a lot; ประมาณ = approximately; กว่า = more than; เหมือน = same / similar; ต่าง = different; เหมาะ = suitable,Read menu sections and basic ingredient labels.|Recognize menu language in restaurant contexts.|Use menu-reading Thai to ask simple food questions.|,Practical reading of menus and food labels.,,Vocabulary system lesson. Contrast and sort related items for fast retrieval. spaced-review: เมนู spaced-review: ไก่
M06-L006,M06,S2,A1-A2,"Questions, Repair, and Real-World Understanding",Signs and Public Notices,draft,Learner can understand simple public signs and notices in common places.,Learner can recycle recent vocabulary while using permission/prohibition reading in short controlled output.,notice language,permission/prohibition reading,เข้า = enter; ออก = exit; เปิด = open; ปิด = closed; ห้าม = forbidden / do not; ระวัง = be careful; โปรด = please (formal),ห้ามเข้า = do not enter; โปรดรอ = please wait; ระวังพื้นลื่น = beware slippery floor,ต่าง = different; เหมาะ = suitable; เมนู = menu; แนะนำ = recommended; หมู = pork; ไก่ = chicken,Read common public signs and warning language.|Recognize sign language quickly in public settings.|Interpret simple written instructions in the real world.|,Reading public notices and warning language.,,Integration lesson. Fold prior vocabulary into short reading and speaking turns.
M06-L007,M06,S2,A1-A2,"Questions, Repair, and Real-World Understanding",Chat and Message Thai,draft,Learner can understand simple Thai used in texts and short chats.,Learner can recycle recent vocabulary while using context recovery in short controlled output.,chat abbreviations and omission,context recovery,"โอเค = okay; ได้เลย = sure / definitely; เดี๋ยว = in a moment; ก่อนนะ = for now, okay?; ถึงแล้ว = arrived already; กำลัง = currently; รออยู่ = waiting",เดี๋ยวไป = I'll go in a bit; ถึงแล้วนะ = I arrived already; กำลังรออยู่ = I am waiting,หมู = pork; ไก่ = chicken; เข้า = enter; ออก = exit; เปิด = open; ปิด = closed,Read short Thai message-style lines with omissions and particles.|Recognize compressed everyday chat Thai.|Reply to short texts using natural beginner-to-low-intermediate Thai.|,Short-message comprehension and response.,,Integration lesson. Push recall with slightly longer turns and lighter support. spaced-review: กำลัง
M06-L008,M06,S2,A1-A2,"Questions, Repair, and Real-World Understanding",Listening Reduction and Filler Words,draft,Learner can understand common filler words and reduced speech in natural conversation.,Learner can recycle recent vocabulary while using connected speech recognition in short controlled output.,filler words,connected speech recognition,"ก็ = also / just / well; แบบ = like / sort of; อ๋อ = oh, I see; อือ = mm-hmm; เอ่อ = uh / um; จริงๆ = really / actually; แป๊บ = a moment","แป๊บนะ = just a sec; อ๋อ เข้าใจแล้ว = oh, I get it now; ก็ประมาณนั้น = something like that","เปิด = open; ปิด = closed; โอเค = okay; ได้เลย = sure / definitely; เดี๋ยว = in a moment; ก่อนนะ = for now, okay?",Read high-frequency filler words that appear in casual Thai.|Recognize reduced and natural-sounding speech cues.|Use a few filler words to sound less robotic while staying clear.|,Natural-speech fillers and connected-speech listening.,,"Listening lesson. Focus on recognition in connected, more natural speech."
M06-L009,M06,S2,A1-A2,"Questions, Repair, and Real-World Understanding",Discourse Particles: นะ / สิ / ล่ะ / เถอะ / แหละ / เนอะ,draft,"You can soften, emphasise, or invite agreement with the six core sentence-final particles, and hear which one fits a given social move.","You can avoid the two most common particle-swap errors learners make (นะ vs สิ, เถอะ vs แหละ).",sentence-final discourse particles นะ / สิ / ล่ะ / เถอะ / แหละ / เนอะ,pragmatic force: softening vs commanding vs confirming,ผิด = wrong; ถูกต้อง = correct; เข้าใจผิด = misunderstand; อีกแบบ = another way; ลอง = try; เดา = guess; ตรงกัน = match / agree; อย่า = don't (imperative negation),"ฉันเข้าใจผิด = I misunderstood; ลองพูดอีกแบบ = try saying it another way; ใช่ แบบนั้นแหละ = yes, like that","เดี๋ยว = in a moment; ก่อนนะ = for now, okay?; ก็ = also / just / well; แบบ = like / sort of; อ๋อ = oh, I see; อือ = mm-hmm",Read repair sequences that include wrong/correct and alternative phrasing.|Follow a short misunderstanding-and-repair exchange.|Recover a conversation after misunderstanding one key detail.|,match particle to social move in 12 mini-dialogues; 4 error-spotting drills on swap errors,,Scenario production lesson. Require active use under realistic constraints. W2a-shell: old 'Fixing Misunderstandings in Context' distributed across M06-L002 (ask-again) and M06-L010 (recap)
M06-L010,M06,S2,A1-A2,"Questions, Repair, and Real-World Understanding",Module 6 Recap and Quiz,draft,"Learner can consolidate question, repair, menu, sign, and chat Thai before moving to stronger reading fluency.",Learner can recycle recent vocabulary while using repair-focused retrieval in short controlled output.,mixed comprehension review,repair-focused retrieval,ความหมาย = meaning; ป้าย = sign; ข้อความ = message; ฟังไม่ทัน = did not catch it; ขอใหม่ = again please; เดาถูก = guess correctly; ตรวจ = check,"อ่านข้อความแล้วตอบ = read the message and answer; ฟังไม่ทันอีกครั้ง = did not catch it, again please; ดูป้ายแล้วเลือก = look at the sign and choose","อ๋อ = oh, I see; อือ = mm-hmm; ผิด = wrong; ถูกต้อง = correct; เข้าใจผิด = misunderstand; อีกแบบ = another way","Read mixed real-world prompt types from lessons 1-9.|Recognize menu, sign, message, and repair language in one review block.|Complete short mixed comprehension tasks before the module quiz.|",Module-wide review of repair strategies and real-world input.,,"Recap lesson. Consolidate the module, route into module quiz, and tag flashcards."
M07-L001,M07,S3,A2,Reading Fluency and Pronunciation Control,Advanced Vowels in Real Words,draft,Learner can recognize advanced vowel patterns inside common words rather than only in charts.,Learner can recycle recent vocabulary while using word-based decoding in short controlled output.,advanced vowel families,word-based decoding,เอือ = eua vowel; เอีย = ia vowel; อัว = ua vowel; เรื่อง = matter / story; เมือง = city; เรือ = boat; ตัว = body / classifier; เมื่อ = when,อ่านเป็นคำจริง = read as real words; ดูสระก่อนแล้วเดาเสียง = look at the vowel first and predict the sound; คำนี้ออกเสียงอย่างไร = how is this word pronounced?,ก็ = also / just / well; แบบ = like / sort of; ผิด = wrong; ถูกต้อง = correct; ความหมาย = meaning; ป้าย = sign,Read advanced vowel families inside high-frequency words.|Recognize advanced vowel patterns in spoken word models.|Decode more realistic Thai words with less support.|,Advanced vowel recognition inside common words.,,Entry dialogue lesson. Seed the module's central real-world situation with high-utility chunks. spaced-review: เอีย spaced-review: อัว spaced-review: ตัว
M07-L002,M07,S3,A2,Reading Fluency and Pronunciation Control,Consonant Clusters,draft,Learner can read beginner-relevant consonant clusters more confidently.,Learner can recycle recent vocabulary while using cluster simplification in speech in short controlled output.,consonant clusters,cluster simplification in speech,กล = gl cluster; กร = gr cluster; ปล = bpl cluster; พร = phr cluster; ตรง = straight / direct; กลาง = middle; ปลา = fish; เปล่า = empty / really?,คำควบกล้ำ = consonant cluster; ตรงไป = go straight; ปลากับผัก = fish and vegetables,เอือ = eua vowel; เอีย = ia vowel; อัว = ua vowel; เรื่อง = matter / story,Recognize common cluster shapes in Thai script.|Hear how some clusters are reduced or softened in natural speech.|Read frequent cluster words used in real life.|,Cluster reading and speech-to-script matching.,,Primary pattern lesson. Keep output controlled and highly scaffolded. spaced-review: ปลา
M07-L003,M07,S3,A2,Reading Fluency and Pronunciation Control,Silent Letters and Hidden Sound Traps,draft,Learner can spot common silent letters and avoid over-pronouncing them.,Learner can recycle recent vocabulary while using reading exceptions in short controlled output.,silent-letter awareness,reading exceptions,เงียบ = silent; การันต์ = silent-marked letter; จันทร์ = Monday; ธรรมดา = normal; มิตร = friend (formal); สวัสดิ์ = welfare root; เหตุ = reason / cause; ชาติ = nation,มีตัวการันต์ = has a silent letter; อ่านไม่หมดทุกตัว = do not pronounce every letter; ดูรูปคำให้ชิน = get used to the word shape,อัว = ua vowel; เรื่อง = matter / story; กล = gl cluster; กร = gr cluster; ปล = bpl cluster; พร = phr cluster,Read word forms that include silent letters or silent-letter logic.|Recognize when spelling and pronunciation do not line up one-to-one.|Avoid over-reading silent letters in common words.|,Silent-letter awareness in real Thai reading.,,Primary pattern lesson. Expand range while reusing lesson 1-2 vocabulary.
M07-L004,M07,S3,A2,Reading Fluency and Pronunciation Control,Final Consonant Patterns,draft,Learner can read common final consonant categories more accurately.,Learner can recycle recent vocabulary while using reading finals in context in short controlled output.,final consonant categories,reading finals in context,ก final = k final; ด final = t final; บ final = p final; น final = n final; ม final = m final; ง final = ng final; ย final = y final; ว final = w final,คำลงท้ายด้วย ก = word ending in ก; เสียงท้ายไม่ตรงตัวสะกดเสมอ = final sound is not always identical to spelling; อ่านท้ายให้ถูก = read the final sound correctly,ปล = bpl cluster; พร = phr cluster; เงียบ = silent; การันต์ = silent-marked letter; จันทร์ = Monday; ธรรมดา = normal,Read and sort Thai finals into the main sound categories.|Recognize the spoken result of different final spellings.|Pronounce and decode common final patterns more accurately.|,Final consonant reading control.,,Vocabulary system lesson. Widen usable lexicon without adding major new complexity.
M07-L005,M07,S3,A2,Reading Fluency and Pronunciation Control,Tone Review in Real Words,draft,Learner can apply tone logic to familiar words instead of isolated examples only.,Learner can recycle recent vocabulary while using word-level tone prediction in short controlled output.,tone rule review,word-level tone prediction,เสียงเอก = low tone; เสียงโท = falling tone; เสียงตรี = high tone; เสียงจัตวา = rising tone; ข่าว = news; ข้าว = rice; เข้า = enter; เขา = he / hill,ลองเดาเสียงก่อน = try predicting the tone first; คำสะกดคล้ายกันแต่เสียงต่างกัน = similar spelling but different tone; ดูชั้นพยัญชนะกับวรรณยุกต์ = check class plus tone mark,จันทร์ = Monday; ธรรมดา = normal; ก final = k final; ด final = t final; บ final = p final; น final = n final,Read familiar high-frequency words while reapplying tone logic.|Distinguish tone patterns in commonly confused word families.|Predict tone more confidently in practical vocabulary.|,Tone-rule retrieval in real-word reading.,,Vocabulary system lesson. Contrast and sort related items for fast retrieval. spaced-review: ข่าว spaced-review: ข้าว spaced-review: เข้า spaced-review: เขา
M07-L006,M07,S3,A2,Reading Fluency and Pronunciation Control,Common Spelling Patterns,draft,Learner can recognize frequent spelling chunks that speed up reading.,Learner can recycle recent vocabulary while using high-frequency spelling patterns in short controlled output.,orthographic chunking,high-frequency spelling patterns,ความ = -ness / abstract noun prefix; การ = action / nominalizer; ผู้ = person who...; ร้าน = shop; โรง = building / institution; วัน = day; เวลา = time; เพราะ = because,เห็นเป็นก้อนคำ = see words as chunks; ไม่ต้องสะกดทุกตัว = do not spell every letter; รูปคำที่เจอบ่อย = word shapes you see often,บ final = p final; น final = n final; เสียงเอก = low tone; เสียงโท = falling tone; เสียงตรี = high tone; เสียงจัตวา = rising tone,Read recurring spelling chunks that appear across many common words.|Recognize high-frequency orthographic patterns more quickly.|Chunk words visually instead of decoding every character one by one.|,Reading speed through common spelling patterns.,,Integration lesson. Fold prior vocabulary into short reading and speaking turns. spaced-review: เวลา
M07-L007,M07,S3,A2,Reading Fluency and Pronunciation Control,Dictation and Sound-to-Script,draft,Learner can map heard beginner-intermediate words back into Thai spelling.,Learner can recycle recent vocabulary while using sound-to-script recall in short controlled output.,dictation strategy,sound-to-script recall,เขียน = write; สะกด = spell; จด = note down; เดา = guess; ตรวจคำตอบ = check the answer; ผิดเสียง = wrong sound; ถูกตัว = correct character; ฝึกฟังเขียน = listen-and-write practice,ฟังแล้วเขียน = listen and write; สะกดคำนี้ = spell this word; ตรวจคำตอบด้วยกัน = check the answers together,เสียงตรี = high tone; เสียงจัตวา = rising tone; ความ = -ness / abstract noun prefix; การ = action / nominalizer; ผู้ = person who...; ร้าน = shop,Read dictation instructions and spelling prompts in Thai.|Hear a word and identify likely Thai spelling pieces.|Write or assemble short words from audio input.|,Sound-to-script mapping through controlled dictation.,,Integration lesson. Push recall with slightly longer turns and lighter support. spaced-review: เดา
M07-L008,M07,S3,A2,Reading Fluency and Pronunciation Control,Read Short Notices and Messages,draft,Learner can read short practical Thai texts with reduced support.,Learner can recycle recent vocabulary while using short-message comprehension in short controlled output.,notice reading,short-message comprehension,ประกาศ = announcement; ส่วนลด = discount; เลื่อน = postpone; วันนี้ปิด = closed today; โปรโมชัน = promotion; รับจอง = accept reservations; เต็ม = full; ว่าง = available,วันนี้ปิด = closed today; ยังว่างอยู่ไหม = is it still available?; รับจองล่วงหน้า = accept advance reservations,ผู้ = person who...; ร้าน = shop; เขียน = write; สะกด = spell; จด = note down; เดา = guess,"Read short notices, announcements, and service messages.|Recognize practical text types beyond single signs.|Extract the key information from short written Thai.|",Real-world notice and message reading.,,"Listening lesson. Focus on recognition in connected, more natural speech. spaced-review: ว่าง"
M07-L009,M07,S3,A2,Reading Fluency and Pronunciation Control,Writing: Copy and Handwrite,draft,"You can handwrite 15 target syllables with correct stroke order, consonant class grouping, and tone-mark placement.",You can read your own handwriting back and self-check tone against Nine's reference.,handwriting stroke order and tone-mark positioning,consonant class visual grouping (mid / high / low),บทสนทนา = dialogue; จังหวะ = rhythm; เว้น = pause / leave space; ต่อเนื่อง = continuous; ธรรมชาติ = natural; บทบาท = role; ตอบรับ = respond / accept; โต้ตอบ = interact,อ่านเป็นช่วงๆ = read in chunks; พูดให้เป็นธรรมชาติ = say it naturally; สลับบทกันอ่าน = alternate reading roles,จด = note down; เดา = guess; ประกาศ = announcement; ส่วนลด = discount; เลื่อน = postpone; วันนี้ปิด = closed today,Read a short dialogue in bigger phrase units instead of word-by-word.|Recognize more natural pacing and chunking in spoken Thai.|Read aloud with better rhythm and role-based turn taking.|,copy 15 syllables; self-check 5 for stroke order and tone-mark placement,,Scenario production lesson. Require active use under realistic constraints. new core is handwriting production. W2a-shell: old 'Read and Say a Short Dialogue' retained as warm-up; new core is handwriting production
M07-L010,M07,S3,A2,Reading Fluency and Pronunciation Control,Module 7 Recap and Quiz,draft,Learner can consolidate reading fluency gains before moving into food and shopping Thai.,Learner can recycle recent vocabulary while using decoding under light pressure in short controlled output.,mixed reading review,decoding under light pressure,อ่านคล่อง = read fluently; รูปคำ = word shape; จับจังหวะ = catch the rhythm; ถอดเสียง = decode sound; ทบทวนกฎ = review the rules; อ่านเร็วขึ้น = read faster; มั่นใจ = confident; แม่นขึ้น = more accurate,อ่านคล่องขึ้น = read more fluently; ทบทวนรูปคำบ่อยๆ = review word shapes often; แม่นทั้งเสียงและตัว = accurate in both sound and script,เลื่อน = postpone; วันนี้ปิด = closed today; บทสนทนา = dialogue; จังหวะ = rhythm; เว้น = pause / leave space; ต่อเนื่อง = continuous,Read mixed reading-oriented prompts and labels.|Recognize advanced beginner reading patterns from lessons 1-9.|Complete short decoding and dialogue-reading tasks before the module quiz.|,"Module-wide review of decoding, tone, finals, and practical reading fluency.",,"Recap lesson. Consolidate the module, route into module quiz, and tag flashcards."
M08-L001,M08,S3,A2,"Food, Markets, and Shopping",Cafe and Drink Orders,draft,Learner can order drinks and cafe items with modifications and quantities.,Learner can recycle recent vocabulary while using modifiers for hot/cold/sweet in short controlled output.,drink ordering pattern,modifiers for hot/cold/sweet,ร้อน = hot; เย็น = cold; หวาน = sweet; หวานน้อย = less sweet; ไม่หวาน = not sweet; แก้ว = glass / cup; น้ำแข็ง = ice; ปั่น = blended,"เอาหวานน้อย = less sweet, please; ไม่ใส่น้ำแข็ง = no ice; กาแฟปั่นหนึ่งแก้ว = one blended coffee",ประกาศ = announcement; ส่วนลด = discount; บทสนทนา = dialogue; จังหวะ = rhythm; อ่านคล่อง = read fluently; รูปคำ = word shape,Read common drink modifiers on menus and order slips.|Recognize hot/cold/sweet modification language in speech.|Place a customized drink order naturally.|,Drink-ordering language with modifiers.,,Entry dialogue lesson. Seed the module's central real-world situation with high-utility chunks. spaced-review: ร้อน spaced-review: เย็น spaced-review: หวาน spaced-review: แก้ว
M08-L002,M08,S3,A2,"Food, Markets, and Shopping",Thai Dishes and Ingredients,draft,Learner can name common Thai dishes and talk about the ingredients in them.,Learner can recycle recent vocabulary while using ingredient listing in short controlled output.,dish naming,ingredient listing,ผัดไทย = pad thai; ต้มยำ = tom yum; ข้าวผัด = fried rice; ก๋วยเตี๋ยว = noodles; หมู = pork; ไก่ = chicken; กุ้ง = shrimp; ผัก = vegetables,"ใส่กุ้งไหม = does it have shrimp?; เอาผัดไทยไก่ = chicken pad thai, please; มีผักเยอะไหม = does it have a lot of vegetables?",ร้อน = hot; เย็น = cold; หวาน = sweet; หวานน้อย = less sweet,Read common dish names and ingredient labels.|Recognize dish names and protein choices in restaurant talk.|Ask what is in a dish and order a specific version.|,Dish names and ingredient vocabulary.,,Primary pattern lesson. Keep output controlled and highly scaffolded. spaced-review: หมู spaced-review: ไก่ spaced-review: ผัก
M08-L003,M08,S3,A2,"Food, Markets, and Shopping",Taste and Dietary Preferences,draft,Learner can describe taste preferences and simple dietary needs.,Learner can recycle recent vocabulary while using preference and avoidance language in short controlled output.,taste adjectives,preference and avoidance language,เผ็ด = spicy; เค็ม = salty; เปรี้ยว = sour; ขม = bitter; จืด = bland; มังสวิรัติ = vegetarian; แพ้อาหาร = food allergy; ถั่ว = nuts,ไม่กินเผ็ดมาก = I do not eat very spicy food; แพ้ถั่ว = I am allergic to nuts; มีแบบมังสวิรัติไหม = do you have a vegetarian option?,หวาน = sweet; หวานน้อย = less sweet; ผัดไทย = pad thai; ต้มยำ = tom yum; ข้าวผัด = fried rice; ก๋วยเตี๋ยว = noodles,Read taste words and simple dietary labels.|Recognize dietary needs and taste preferences in service talk.|Explain what you can and cannot eat.|,Taste language and dietary restriction talk.,,Primary pattern lesson. Expand range while reusing lesson 1-2 vocabulary. spaced-review: เผ็ด spaced-review: เค็ม
M08-L004,M08,S3,A2,"Food, Markets, and Shopping",Restaurant Interaction from Start to Finish,draft,"Learner can move through seating, ordering, checking, and paying in one restaurant interaction.",Learner can recycle recent vocabulary while using sequencing requests in short controlled output.,restaurant service phrases,sequencing requests,จอง = reserve; โต๊ะ = table; รับออเดอร์ = take an order; เช็กบิล = bill / check; น้ำเปล่า = plain water; ช้อน = spoon; ส้อม = fork; อิ่มแล้ว = I'm full,"ขอโต๊ะสองที่ = a table for two, please; เช็กบิลด้วยครับ/ค่ะ = the bill, please; ขอน้ำเปล่าเพิ่ม = more plain water, please",ข้าวผัด = fried rice; ก๋วยเตี๋ยว = noodles; เผ็ด = spicy; เค็ม = salty; เปรี้ยว = sour; ขม = bitter,"Read common restaurant-service phrases across the meal flow.|Recognize ordering, cutlery, and bill requests in context.|Handle a full basic restaurant interaction.|",Restaurant interaction from seating to payment.,,Vocabulary system lesson. Widen usable lexicon without adding major new complexity. spaced-review: โต๊ะ
M08-L005,M08,S3,A2,"Food, Markets, and Shopping",Market Produce and Fresh Food,draft,Learner can buy produce and fresh food using common market vocabulary.,Learner can recycle recent vocabulary while using weight / amount language in short controlled output.,market nouns,weight / amount language,ตลาด = market; ผัก = vegetables; ผลไม้ = fruit; มะม่วง = mango; กล้วย = banana; มะเขือเทศ = tomato; กิโล = kilo; ครึ่ง = half,"ครึ่งกิโล = half a kilo; เอามะม่วงสองลูก = two mangoes, please; สดไหม = is it fresh?",เปรี้ยว = sour; ขม = bitter; จอง = reserve; โต๊ะ = table; รับออเดอร์ = take an order; เช็กบิล = bill / check,"Read fresh-food labels and produce names.|Recognize market talk about amount, freshness, and produce.|Buy fruit and vegetables with basic quantity language.|",Market Thai for produce and weight.,,Vocabulary system lesson. Contrast and sort related items for fast retrieval. spaced-review: ผัก spaced-review: ผลไม้
M08-L006,M08,S3,A2,"Food, Markets, and Shopping","Clothes, Colors, and Sizes",draft,"Learner can ask about clothes, colors, and size in stores or markets.",Learner can recycle recent vocabulary while using size and color questions in short controlled output.,clothing nouns,size and color questions,เสื้อ = shirt; กางเกง = pants; รองเท้า = shoes; สีดำ = black; สีขาว = white; สีแดง = red; ไซซ์ = size; ลอง = try on / try,มีไซซ์ใหญ่ไหม = do you have a bigger size?; ขอลองได้ไหม = can I try it on?; สีดำมีไหม = do you have black?,รับออเดอร์ = take an order; เช็กบิล = bill / check; ตลาด = market; ผัก = vegetables; ผลไม้ = fruit; มะม่วง = mango,"Read clothing, color, and size words on product labels or in-store prompts.|Recognize size and color requests in shop interactions.|Ask for another color or size and try something on.|",Clothing and fit language for shopping.,,Integration lesson. Fold prior vocabulary into short reading and speaking turns. spaced-review: ลอง
M08-L007,M08,S3,A2,"Food, Markets, and Shopping",Bargaining and Comparing Options,draft,Learner can compare prices and negotiate politely in flexible-price contexts.,Learner can recycle recent vocabulary while using price softening in short controlled output.,comparison and negotiation language,price softening,ลด = reduce / discount; แพง = expensive; ถูก = cheap; ลดได้ไหม = can you discount it?; สุดท้าย = final; คุณภาพ = quality; เหมือนกัน = the same; ต่างกัน = different,ลดหน่อยได้ไหม = can you lower it a bit?; อันนี้แพงไป = this one is too expensive; อันไหนคุ้มกว่า = which one is more worth it?,ผลไม้ = fruit; มะม่วง = mango; เสื้อ = shirt; กางเกง = pants; รองเท้า = shoes; สีดำ = black,Read common bargaining and price-comparison phrases.|Recognize discount and value language in market interactions.|Negotiate politely and compare two products.|,Bargaining language and value comparison.,,Integration lesson. Push recall with slightly longer turns and lighter support. spaced-review: แพง sense-shift: ถูก
M08-L008,M08,S3,A2,"Food, Markets, and Shopping",Online Shopping and Delivery,draft,"Learner can shop online, confirm orders, and talk about delivery status.",Learner can recycle recent vocabulary while using status updates in short controlled output.,online order vocabulary,status updates,สั่งซื้อ = place an order; จัดส่ง = deliver / shipment; ที่อยู่ = address; พัสดุ = parcel; ชำระเงิน = make payment; เก็บเงินปลายทาง = cash on delivery; ส่งแล้ว = shipped; ได้รับ = received,ส่งที่ที่อยู่นี้ = send it to this address; เก็บเงินปลายทางได้ไหม = can I pay cash on delivery?; พัสดุส่งแล้ว = the parcel has shipped,รองเท้า = shoes; สีดำ = black; ลด = reduce / discount; แพง = expensive; ถูก = cheap; ลดได้ไหม = can you discount it?,Read online-order status words and delivery language.|Recognize common e-commerce phrases in messages and tracking updates.|Confirm an order and ask about delivery clearly.|,Online shopping and delivery communication.,,"Listening lesson. Focus on recognition in connected, more natural speech."
M08-L009,M08,S3,A2,"Food, Markets, and Shopping",Shopping Scenario Day,draft,"Learner can move through cafe, market, clothing, and delivery talk in a chained scenario.",Learner can recycle recent vocabulary while using mixed purchase language in short controlled output.,scenario chaining,mixed purchase language,ร้าน = shop; สาขา = branch; พร้อม = ready; รับเลย = take now; รอรับ = wait to receive; เปลี่ยน = change / exchange; คืนเงิน = refund; ใบเสร็จ = receipt,"ขอใบเสร็จด้วย = receipt, please; เปลี่ยนไซซ์ได้ไหม = can I exchange the size?; พร้อมรับเลย = ready to take now",ถูก = cheap; ลดได้ไหม = can you discount it?; สั่งซื้อ = place an order; จัดส่ง = deliver / shipment; ที่อยู่ = address; พัสดุ = parcel,Read multi-stop shopping vocabulary in practical context.|Follow a combined audio scenario across several purchase contexts.|Handle a longer shopping day roleplay with fewer pauses.|,Integrated food and shopping scenario performance.,,Scenario production lesson. Require active use under realistic constraints. spaced-review: ร้าน spaced-review: พร้อม
M08-L010,M08,S3,A2,"Food, Markets, and Shopping",Module 8 Recap and Quiz,draft,"Learner can consolidate restaurant, market, clothes, bargaining, and delivery Thai before travel-focused modules.",Learner can recycle recent vocabulary while using retrieval and comparison in short controlled output.,mixed shopping review,retrieval and comparison,ใบสั่ง = order slip; รายการ = item / list; ต่อรอง = negotiate; ขนาด = size; รสชาติ = taste; จัดส่งถึง = deliver to; สรุปราคา = total price summary; รีวิว = review / feedback,สรุปราคาให้หน่อย = please summarize the total price; ต่อรองราคาอย่างสุภาพ = negotiate politely; เลือกของที่เหมาะ = choose the suitable item,ที่อยู่ = address; พัสดุ = parcel; ร้าน = shop; สาขา = branch; พร้อม = ready; รับเลย = take now,"Read mixed shopping and food-related prompts.|Recognize product, dish, delivery, and price language in one review set.|Complete short integrated restaurant and shopping tasks before the module quiz.|","Module-wide review of food, shopping, and purchase management.",,"Recap lesson. Consolidate the module, route into module quiz, and tag flashcards."
M09-L001,M09,S3,A2,"Travel, Transport, and Accommodation",Asking the Route,draft,Learner can ask how to get somewhere and confirm the route.,Learner can recycle recent vocabulary while using landmark reference in short controlled output.,route questions,landmark reference,ไปยังไง = how to get there; ทาง = way / route; แยก = intersection; สะพาน = bridge; ป้ายรถเมล์ = bus stop; ตรงนี้ = here; ใกล้ๆ = nearby; เลี้ยว = turn,ไปยังไงครับ/คะ = how do I get there?; อยู่ใกล้ป้ายรถเมล์ไหม = is it near the bus stop?; เลี้ยวตรงแยก = turn at the intersection,สั่งซื้อ = place an order; จัดส่ง = deliver / shipment; ร้าน = shop; สาขา = branch; ใบสั่ง = order slip; รายการ = item / list,Read route words and landmark references on maps or prompts.|Recognize spoken direction-giving tied to landmarks.|Ask for a route and check that you understood it.|,Route questions and landmark-based direction talk.,,Entry dialogue lesson. Seed the module's central real-world situation with high-utility chunks.
